accelerometer,,,
Timestamp (ms),x (m/s^2),y-acc (m/s^2),z-acc(m/s^2)
1485644720024,0.20751953,-0.7133789,-0.22802734
1485644720029,0.19726563,-0.68310547,-0.14355469
1485644720035,0.21142578,-0.65527344,-0.13085938
1485644720039,0.24560547,-0.6201172,-0.11376953
1485644720045,0.28271484,-0.60302734,-0.017578125
1485644720049,0.28564453,-0.6118164,-0.0087890625
1485644720054,0.2685547,-0.70947266,-0.03466797
1485644720060,0.20019531,-0.8930664,-0.05078125
1485644720064,0.080078125,-1.0239258,-0.122558594
1485644720070,-0.037597656,-1.0976563,-0.25195313
1485644720076,-0.08935547,-1.1665039,-0.31933594
1485644720079,-0.091308594,-1.1611328,-0.41748047
1485644720085,-0.051757813,-1.1254883,-0.47705078
1485644720089,0,-1.0629883,-0.51416016
1485644720095,0.05908203,-1.019043,-0.5551758
1485644720099,0.09326172,-0.9746094,-0.5239258
1485644720105,0.13476563,-0.921875,-0.54003906
1485644720111,0.20410156,-0.8881836,-0.48583984
1485644720114,0.23486328,-0.80126953,-0.44628906
1485644720120,0.24560547,-0.8046875,-0.3623047
1485644720127,0.21777344,-0.8461914,-0.31933594
1485644720130,0.12646484,-0.9121094,-0.29736328
1485644720134,0.03125,-0.99853516,-0.23730469
1485644720139,-0.02734375,-1.121582,-0.22705078
1485644720145,-0.114746094,-1.1918945,-0.2133789
1485644720149,-0.16552734,-1.3105469,-0.1796875
1485644720155,-0.2475586,-1.3374023,-0.17480469
1485644720159,-0.31982422,-1.3232422,-0.17529297
1485644720165,-0.2939453,-1.3364258,-0.20800781
1485644720169,-0.26416016,-1.2954102,-0.24365234
1485644720174,-0.19970703,-1.2392578,-0.265625
1485644720180,-0.1303711,-1.1162109,-0.29003906
1485644720184,-0.04638672,-1.0151367,-0.30371094
1485644720190,0.036621094,-0.91064453,-0.2915039
1485644720194,0.12695313,-0.8261719,-0.28222656
1485644720200,0.19726563,-0.74853516,-0.2602539
1485644720205,0.24658203,-0.66748047,-0.24511719
1485644720209,0.30371094,-0.6401367,-0.22265625
1485644720215,0.33496094,-0.6088867,-0.20654297
1485644720219,0.3515625,-0.57666016,-0.19482422
1485644720225,0.36035156,-0.55566406,-0.18164063
1485644720230,0.35107422,-0.57470703,-0.23095703
1485644720235,0.30419922,-0.6220703,-0.25390625
1485644720240,0.24316406,-0.66845703,-0.32421875
1485644720244,0.19384766,-0.7216797,-0.38427734
1485644720250,0.16308594,-0.7578125,-0.44628906
1485644720254,0.13330078,-0.77734375,-0.4892578
1485644720260,0.119628906,-0.80566406,-0.5053711
1485644720265,0.099609375,-0.83740234,-0.5058594
1485644720269,0.07861328,-0.8857422,-0.50878906
1485644720275,0.068847656,-0.90966797,-0.48632813
1485644720279,0.08203125,-0.90625,-0.4736328
1485644720285,0.10888672,-0.90722656,-0.44189453
1485644720290,0.078125,-0.8769531,-0.39501953
1485644720295,0.04638672,-0.8798828,-0.36572266
1485644720300,0.03515625,-0.88378906,-0.3359375
1485644720306,0.026367188,-0.8925781,-0.28320313
1485644720310,0.020996094,-0.9526367,-0.21582031
1485644720315,-0.024902344,-0.99658203,0.0063476563
1485644720322,-0.075683594,-1.0366211,-0.0234375
1485644720325,-0.09277344,-1.0688477,-0.28271484
1485644720329,-0.103027344,-1.0996094,-0.12402344
1485644720335,-0.11035156,-1.1289063,-0.0014648438
1485644720339,-0.11669922,-1.1586914,0.053222656
1485644720345,-0.123046875,-1.1904297,0.16113281
1485644720350,-0.12548828,-1.2368164,0.2319336
1485644720356,-0.13232422,-1.2885742,0.27001953
1485644720360,-0.17041016,-1.3266602,0.07373047
1485644720364,-0.2163086,-1.3530273,-0.09033203
1485644720370,-0.2397461,-1.3642578,-0.19628906
1485644720375,-0.24658203,-1.3588867,-0.36669922
1485644720380,-0.22021484,-1.3408203,-0.3720703
1485644720385,-0.11425781,-1.3217773,-0.3720703
1485644720389,0.018066406,-1.3339844,-0.4038086
1485644720395,0.3330078,-1.5146484,-0.45410156
1485644720399,0.4555664,-1.4584961,-0.5444336
1485644720405,0.47851563,-1.2397461,-0.62109375
1485644720410,0.57177734,-1.0717773,-0.6508789
1485644720416,0.7011719,-0.9111328,-0.6723633
1485644720420,0.8095703,-0.85009766,-0.68603516
1485644720424,0.8535156,-0.84033203,-0.6933594
1485644720430,0.8828125,-0.9091797,-0.64501953
1485644720435,0.92041016,-1.0668945,-0.5883789
1485644720440,0.9291992,-1.1723633,-0.5371094
1485644720445,0.8676758,-1.2163086,-0.47607422
1485644720451,0.6953125,-1.1831055,-0.39746094
1485644720455,0.5185547,-1.1796875,-0.31689453
1485644720460,0.38867188,-1.2089844,-0.25878906
1485644720465,0.30419922,-1.2607422,-0.21679688
1485644720470,0.23535156,-1.3417969,-0.14257813
1485644720476,0.1586914,-1.4321289,-0.10498047
1485644720480,0.060546875,-1.496582,-0.041992188
1485644720484,-0.001953125,-1.5512695,-0.020996094
1485644720490,-0.032714844,-1.5610352,-0.038085938
1485644720495,-0.028320313,-1.5463867,-0.030761719
1485644720501,0.0029296875,-1.5107422,-0.0024414063
1485644720505,0.034179688,-1.4433594,-0.036132813
1485644720509,0.09326172,-1.3989258,-0.067871094
