gyroscope ,,,
Timestamp (ms) , x-gyro (deg/s), y-gyro (deg/s), z-gyro (deg/s) 
1485644720867,18.90244,20.914635,15.97561
1485644720873,17.439024,17.5,12.317074
1485644720877,14.573171,20.54878,8.109756
1485644720883,-4.756098,32.439026,5.609756
1485644720888,-17.92683,29.32927,5.792683
1485644720893,-20.487804,10.670732,8.841464
1485644720898,-27.804878,-7.378049,13.536586
1485644720904,-33.963417,-19.512196,19.45122
1485644720908,-42.073174,-27.987806,24.573172
1485644720913,-55.365856,-31.768293,28.292683
1485644720918,-71.03659,-29.024391,33.292683
1485644720923,-85.54878,-25.060976,37.682926
1485644720929,-95.60976,-21.524391,40.97561
1485644720933,-101.097565,-20.365854,42.682926
1485644720939,-103.90244,-20.54878,44.45122
1485644720943,-102.98781,-22.560976,49.268295
1485644720948,-99.20732,-23.841463,54.634148
1485644720954,-95,-24.024391,58.414635
1485644720961,-91.951225,-24.146341,63.90244
1485644720964,-90.18293,-26.524391,68.29269
1485644720968,-87.19512,-29.573172,70.97561
1485644720973,-83.90244,-32.439026,75.060974
1485644720978,-75.60976,-32.621952,78.04878
1485644720983,-60.670734,-30.609756,81.52439
1485644720989,-38.109756,-27.134148,85.060974
1485644720993,-12.256098,-22.134148,86.951225
1485644720999,13.536586,-15.182927,90
1485644721003,37.80488,-9.3902445,90.67073
1485644721011,57.560978,-3.902439,92.0122
1485644721014,76.097565,2.4390244,93.78049
1485644721019,91.585365,6.7073174,95.060974
1485644721024,99.69512,8.292683,95.30488
1485644721028,103.17073,8.719512,95.36585
1485644721034,106.03659,5.670732,95.48781
1485644721038,106.585365,4.4512196,97.31708
1485644721044,109.14635,5,100.48781
1485644721049,111.951225,3.4146342,100.79269
1485644721053,115.243904,1.9512196,98.10976
1485644721059,119.87805,1.8902439,91.951225
1485644721063,120.67074,-0.5487805,87.439026
1485644721069,121.82927,-0.91463417,84.87805
1485644721074,119.63415,1.402439,81.95122
1485644721080,118.29269,3.5365853,79.939026
1485644721084,114.268295,4.6951222,78.35366
1485644721088,107.743904,5.914634,74.39024
1485644721094,103.23171,5.121951,72.256096
1485644721100,97.926834,-2.0731707,70.914635
1485644721106,92.2561,-10.426829,69.87805
1485644721109,86.28049,-22.804878,68.53659
1485644721115,79.87805,-35.365856,65.48781
1485644721119,75.18293,-46.52439,62.439026
1485644721123,70.426834,-57.5,58.841465
1485644721129,64.87805,-67.19512,58.170734
1485644721134,58.414635,-77.256096,62.92683
1485644721140,50.060978,-83.23171,71.34147
1485644721144,41.280487,-85.060974,89.57317
1485644721150,36.585365,-82.98781,118.597565
1485644721157,33.719513,-79.45122,139.2683
1485644721159,29.268293,-73.597565,146.95122
1485644721166,24.512196,-65.243904,148.35367
